Tempo (us) 	 Tensione (V)
-85.299521	-0.002405
-85.283521	0.000189
-85.267521	-0.002039
-85.251521	-0.001795
-85.235521	-0.001306
-85.219521	0.000311
-85.203521	0.001440
-85.187521	0.001440
-85.171521	0.001562
-85.155521	-0.002771
-85.139521	-0.005274
-85.123521	0.000555
-85.107521	0.001318
-85.091521	-0.003534
-85.075521	-0.004511
-85.059521	-0.001306
-85.043521	-0.002039
-85.027521	-0.000421
-85.011521	-0.003168
-84.995521	0.000189
-84.979521	-0.000299
-84.963521	-0.000787
-84.947521	-0.000665
-84.931521	0.003302
-84.915521	0.001562
-84.899521	-0.001550
-84.883521	-0.001184
-84.867521	-0.001306
-84.851521	0.001196
-84.835521	0.000433
-84.819521	-0.001428
-84.803521	-0.002039
-84.787521	0.001807
-84.771521	0.000067
-84.755521	-0.003656
-84.739521	-0.002039
-84.723521	-0.002771
-84.707521	-0.000909
-84.691521	-0.001062
-84.675521	-0.002039
-84.659521	-0.000665
-84.643521	-0.000543
-84.627521	-0.003656
-84.611521	0.001929
-84.595521	-0.001184
-84.579521	-0.001917
-84.563521	-0.000665
-84.547521	0.000433
-84.531521	-0.000665
-84.515521	-0.003412
-84.499521	-0.002771
-84.483521	0.002783
-84.467521	-0.000787
-84.451521	0.001562
-84.435521	0.000952
-84.419521	-0.001428
-84.403521	0.002173
-84.387521	-0.000909
-84.371521	-0.001062
-84.355521	-0.000055
-84.339521	0.000952
-84.323521	-0.002405
-84.307521	-0.001795
-84.291521	-0.002893
-84.275521	-0.000787
-84.259521	-0.000787
-84.243521	0.000433
-84.227521	0.000952
-84.211521	0.000067
-84.195521	-0.000909
-84.179521	0.002417
-84.163521	-0.000177
-84.147521	-0.002283
-84.131521	0.000555
-84.115521	0.002173
-84.099521	0.000311
-84.083521	-0.002161
-84.067521	-0.000787
-84.051521	0.001074
-84.035521	-0.000665
-84.019521	-0.000299
-84.003521	0.001196
-83.987521	-0.000177
-83.971521	-0.003046
-83.955521	-0.000421
-83.939521	0.000067
-83.923521	0.003424
-83.907521	0.000189
-83.891521	-0.001917
-83.875521	-0.000177
-83.859521	-0.001062
-83.843521	0.001196
-83.827521	-0.002649
-83.811521	0.000555
-83.795521	-0.000055
-83.779521	0.002539
-83.763521	-0.003168
-83.747521	-0.000665
-83.731521	0.001807
-83.715521	0.002783
-83.699521	0.001318
-83.683521	-0.000055
-83.667521	0.003058
-83.651521	0.000067
-83.635521	-0.001062
-83.619521	-0.001184
-83.603521	-0.000909
-83.587521	0.001318
-83.571521	0.000433
-83.555521	0.002173
-83.539521	0.002661
-83.523521	-0.000421
-83.507521	-0.001672
-83.491521	0.000952
-83.475521	0.000952
-83.459521	-0.002161
-83.443521	-0.001917
-83.427521	0.000433
-83.411521	0.000677
-83.395521	-0.002405
-83.379521	-0.001184
-83.363521	-0.002649
-83.347521	-0.002527
-83.331521	0.002173
-83.315521	-0.000543
-83.299521	0.002051
-83.283521	0.001562
-83.267521	-0.001306
-83.251521	0.001807
-83.235521	-0.001306
-83.219521	-0.001917
-83.203521	0.000433
-83.187521	-0.000421
-83.171521	-0.001184
-83.155521	-0.001672
-83.139521	-0.002893
-83.123521	0.000555
-83.107521	-0.000055
-83.091521	-0.000787
-83.075521	-0.000787
-83.059521	-0.000909
-83.043521	-0.002039
-83.027521	-0.003168
-83.011521	0.002051
-82.995521	0.004523
-82.979521	0.000433
-82.963521	-0.001062
-82.947521	-0.000909
-82.931521	-0.000787
-82.915521	-0.002771
-82.899521	-0.002649
-82.883521	-0.001672
-82.867521	0.002661
-82.851521	-0.001306
-82.835521	-0.000909
-82.819521	-0.000055
-82.803521	-0.000543
-82.787521	-0.000299
-82.771521	-0.000543
-82.755521	-0.002527
-82.739521	-0.001184
-82.723521	-0.001306
-82.707521	0.001074
-82.691521	-0.001062
-82.675521	0.001807
-82.659521	-0.001550
-82.643521	-0.002283
-82.627521	0.000677
-82.611521	0.001929
-82.595521	-0.002893
-82.579521	0.000677
-82.563521	-0.002771
-82.547521	-0.000665
-82.531521	-0.001917
-82.515521	0.000555
-82.499521	-0.003168
-82.483521	-0.000299
-82.467521	-0.005396
-82.451521	-0.004511
-82.435521	0.000677
-82.419521	-0.001795
-82.403521	-0.001184
-82.387521	-0.001184
-82.371521	-0.000665
-82.355521	-0.000909
-82.339521	-0.003900
-82.323521	-0.002161
-82.307521	-0.001672
-82.291521	-0.006128
-82.275521	-0.001184
-82.259521	0.000067
-82.243521	-0.002527
-82.227521	-0.003046
-82.211521	-0.001917
-82.195521	-0.003046
-82.179521	0.001074
-82.163521	-0.000055
-82.147521	-0.004022
-82.131521	0.000555
-82.115521	0.001318
-82.099521	0.000189
-82.083521	0.001196
-82.067521	-0.000055
-82.051521	0.002661
-82.035521	-0.001795
-82.019521	-0.002161
-82.003521	-0.003290
-81.987521	0.001196
-81.971521	0.001074
-81.955521	-0.002039
-81.939521	-0.000177
-81.923521	-0.002161
-81.907521	-0.001428
-81.891521	-0.000543
-81.875521	-0.000421
-81.859521	-0.003534
-81.843521	0.001929
-81.827521	-0.000421
-81.811521	0.000800
-81.795521	-0.001672
-81.779521	0.000555
-81.763521	-0.001550
-81.747521	0.000189
-81.731521	-0.001550
-81.715521	0.003058
-81.699521	0.001807
-81.683521	0.001196
-81.667521	-0.000421
-81.651521	0.001562
-81.635521	0.000800
-81.619521	-0.001795
-81.603521	0.000555
-81.587521	-0.002527
-81.571521	0.001562
-81.555521	-0.003168
